epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,190.054,0.72338,0.43026,0.92467,0.99648,1,0.995,0.86206,0.60306,0.33284,0.913,0.0011486,0.0011486,0.0011486
45,194.314,0.75361,0.44035,0.93172,0.9966,1,0.995,0.86971,0.58907,0.34377,0.92043,0.0011288,0.0011288,0.0011288
46,198.559,0.67861,0.40908,0.93543,0.99638,1,0.995,0.84198,0.62842,0.3395,0.95407,0.001109,0.001109,0.001109
47,202.806,0.6352,0.38448,0.84917,0.99605,1,0.995,0.87038,0.59076,0.31645,0.91601,0.0010892,0.0010892,0.0010892
48,207.066,0.69532,0.46251,0.91426,0.99663,1,0.995,0.8429,0.7512,0.33392,0.95659,0.0010694,0.0010694,0.0010694
49,211.305,0.64125,0.37948,0.83794,0.99669,1,0.995,0.857,0.69649,0.33464,0.94294,0.0010496,0.0010496,0.0010496
50,215.556,0.65536,0.3987,0.90172,0.99659,1,0.995,0.82031,0.81424,0.37493,0.975,0.0010298,0.0010298,0.0010298
51,219.811,0.69862,0.41024,0.94405,0.99633,1,0.995,0.86057,0.6595,0.38597,0.91138,0.00101,0.00101,0.00101
52,224.051,0.71947,0.4235,0.94219,0.99619,1,0.995,0.86313,0.6295,0.32363,0.91299,0.0009902,0.0009902,0.0009902
53,228.312,0.69398,0.38651,0.92491,0.99674,1,0.995,0.8593,0.68652,0.3203,0.93936,0.0009704,0.0009704,0.0009704
54,232.56,0.62936,0.36549,0.84379,0.99665,1,0.995,0.80748,0.78394,0.34377,0.9824,0.0009506,0.0009506,0.0009506
55,236.833,0.71442,0.38883,0.91834,0.99645,1,0.995,0.88521,0.63981,0.31909,0.94353,0.0009308,0.0009308,0.0009308
56,241.142,0.66327,0.38675,0.90538,0.99573,1,0.995,0.88095,0.64429,0.31026,0.93513,0.000911,0.000911,0.000911
57,245.453,0.6848,0.38543,0.9418,0.99598,1,0.995,0.85881,0.63814,0.29812,0.92676,0.0008912,0.0008912,0.0008912
58,249.731,0.67223,0.40338,0.90349,0.9966,1,0.995,0.86702,0.66693,0.32471,0.91331,0.0008714,0.0008714,0.0008714
59,253.997,0.6524,0.38642,0.8967,1,1,0.995,0.83968,0.69419,0.31626,0.92857,0.0008516,0.0008516,0.0008516
60,258.263,0.64946,0.38338,0.93206,0.9967,1,0.995,0.87701,0.61354,0.31733,0.89196,0.0008318,0.0008318,0.0008318
61,262.521,0.66377,0.39469,0.92667,0.99673,1,0.995,0.83706,0.72134,0.34508,0.93304,0.000812,0.000812,0.000812
62,266.777,0.66425,0.3868,0.90371,0.99679,1,0.995,0.82254,0.71832,0.35724,0.92901,0.0007922,0.0007922,0.0007922
63,271.05,0.60369,0.34636,0.81962,0.99673,1,0.995,0.85963,0.6553,0.3079,0.9173,0.0007724,0.0007724,0.0007724
64,275.298,0.57976,0.34457,0.83104,0.99675,1,0.995,0.81997,0.78489,0.33174,0.96638,0.0007526,0.0007526,0.0007526
65,279.546,0.59066,0.36085,0.90505,0.99683,1,0.995,0.87025,0.63721,0.3121,0.91655,0.0007328,0.0007328,0.0007328
66,283.805,0.6347,0.3878,0.93798,0.99677,1,0.995,0.86533,0.67122,0.32236,0.92273,0.000713,0.000713,0.000713
67,288.064,0.61407,0.36507,0.90169,0.99674,1,0.995,0.84639,0.64095,0.29898,0.92966,0.0006932,0.0006932,0.0006932
68,292.322,0.56626,0.34142,0.83196,0.9968,1,0.995,0.89754,0.63138,0.28958,0.91397,0.0006734,0.0006734,0.0006734
69,296.642,0.59737,0.39769,0.87361,0.99674,1,0.995,0.83191,0.74405,0.30604,0.97553,0.0006536,0.0006536,0.0006536
70,300.909,0.58608,0.34047,0.88982,0.99672,1,0.995,0.85803,0.64598,0.29714,0.93197,0.0006338,0.0006338,0.0006338
71,305.179,0.58252,0.36161,0.88868,0.99674,1,0.995,0.85568,0.69267,0.29646,0.93002,0.000614,0.000614,0.000614
72,309.459,0.61945,0.35547,0.89727,0.99662,1,0.995,0.88046,0.62682,0.27609,0.91528,0.0005942,0.0005942,0.0005942
73,313.704,0.61385,0.45057,0.9045,0.9967,1,0.995,0.86693,0.6072,0.27993,0.89329,0.0005744,0.0005744,0.0005744
74,317.945,0.58055,0.33067,0.87839,1,1,0.995,0.87775,0.61374,0.28482,0.89497,0.0005546,0.0005546,0.0005546
75,322.189,0.49423,0.30188,0.80653,0.9967,1,0.995,0.85161,0.71291,0.29712,0.9487,0.0005348,0.0005348,0.0005348
76,326.492,0.57145,0.36776,0.89836,0.99671,1,0.995,0.84899,0.71884,0.30019,0.93975,0.000515,0.000515,0.000515
77,330.766,0.54366,0.31167,0.86687,0.99676,1,0.995,0.87178,0.70217,0.29074,0.92322,0.0004952,0.0004952,0.0004952
78,335.018,0.54059,0.32253,0.85624,0.99649,1,0.995,0.87596,0.65248,0.27962,0.93518,0.0004754,0.0004754,0.0004754
79,339.283,0.57694,0.33679,0.87393,0.99658,1,0.995,0.86187,0.65968,0.28676,0.9443,0.0004556,0.0004556,0.0004556
80,343.565,0.56426,0.33751,0.89166,0.99658,1,0.995,0.85209,0.65387,0.27786,0.9464,0.0004358,0.0004358,0.0004358
81,347.82,0.52891,0.32107,0.86155,0.9967,1,0.995,0.85941,0.64697,0.2781,0.95029,0.000416,0.000416,0.000416
82,352.072,0.5084,0.2922,0.8053,0.99672,1,0.995,0.85497,0.65689,0.28605,0.95317,0.0003962,0.0003962,0.0003962
83,356.37,0.51396,0.32084,0.89218,0.99679,1,0.995,0.85855,0.65421,0.27851,0.92957,0.0003764,0.0003764,0.0003764
84,360.627,0.44419,0.28119,0.77136,0.99675,1,0.995,0.85004,0.66692,0.28253,0.92611,0.0003566,0.0003566,0.0003566
85,364.91,0.54828,0.33138,0.86967,0.99682,1,0.995,0.84028,0.67677,0.29182,0.92828,0.0003368,0.0003368,0.0003368
86,369.198,0.53517,0.3101,0.87651,0.99681,1,0.995,0.84305,0.66071,0.28412,0.92527,0.000317,0.000317,0.000317
87,373.462,0.53642,0.33007,0.87431,0.99677,1,0.995,0.87385,0.60403,0.27608,0.91555,0.0002972,0.0002972,0.0002972
88,377.719,0.49661,0.29233,0.85816,0.99673,1,0.995,0.86688,0.6297,0.27038,0.91928,0.0002774,0.0002774,0.0002774
89,381.977,0.53752,0.29746,0.87508,0.99685,1,0.995,0.8789,0.67404,0.27933,0.92891,0.0002576,0.0002576,0.0002576
90,386.26,0.52033,0.30051,0.85327,0.99685,1,0.995,0.89214,0.64247,0.27475,0.90957,0.0002378,0.0002378,0.0002378
91,420.843,0.52802,0.28147,0.88184,0.99681,1,0.995,0.87801,0.6259,0.27922,0.92005,0.000218,0.000218,0.000218
92,425.241,0.52019,0.28536,0.86418,0.99679,1,0.995,0.86383,0.65748,0.27981,0.94771,0.0001982,0.0001982,0.0001982
93,429.618,0.46676,0.27306,0.87445,0.99678,1,0.995,0.86086,0.66561,0.28372,0.94949,0.0001784,0.0001784,0.0001784
94,434.006,0.45202,0.25325,0.86373,0.99682,1,0.995,0.84263,0.68184,0.28735,0.94809,0.0001586,0.0001586,0.0001586
95,438.361,0.50456,0.28172,0.86435,0.99683,1,0.995,0.85892,0.66012,0.28186,0.94292,0.0001388,0.0001388,0.0001388
96,442.705,0.4312,0.25691,0.85931,0.99683,1,0.995,0.86586,0.64729,0.2866,0.94159,0.000119,0.000119,0.000119
97,447.063,0.43218,0.27131,0.85303,0.99681,1,0.995,0.86027,0.65094,0.27857,0.94261,9.92e-05,9.92e-05,9.92e-05
98,451.437,0.44423,0.27347,0.84458,0.99684,1,0.995,0.86124,0.66224,0.2696,0.94768,7.94e-05,7.94e-05,7.94e-05
99,455.793,0.41278,0.25264,0.84074,0.99684,1,0.995,0.85793,0.68318,0.27313,0.95265,5.96e-05,5.96e-05,5.96e-05
100,460.182,0.42723,0.2545,0.84125,0.99685,1,0.995,0.86083,0.68823,0.27556,0.95463,3.98e-05,3.98e-05,3.98e-05
